objectid,category,ghgrp_id,landfill_name,county_state,landfill_owner_org,year_landfill_opened,landfill_closure_year,current_landfill_status,landfill_design_cap,waste_in_place_tons,waste_in_place_year,lfg_collection_system,lfg_collected_mmscfd,lfg_collected_year,latitude,longitude
1827,With Project,1007634,Tullytown LF,"Bucks, PA","Waste Management, Inc.",1988,2017,Closed,,46267224,2016,Yes,10.9,2012,40.13,-74.805
1828,With Project,1007692,Valley LF,"Westmoreland, PA","Waste Management, Inc.",1960,2065,Open,21625452,8286776,2016,Yes,2.67,2012,40.3881,-79.6742
1830,Candidate,1007960,Wayne Township LF,"Clinton, PA","Clinton County Solid Waste Authority, PA",1974,2048,Open,18808679,3848511,2016,Yes,1.86,2012,41.1619,-77.345
1831,Candidate,1002716,Western Berks Community Landfill & Recycling Center,"Berks, PA",Advanced Disposal Services,1974,2026,Open,4650072,4116476,2016,Yes,0.85,2015,40.30281,-75.90865
1832,Other,1000291,Westmoreland Waste SLF LLC,"Westmoreland, PA",Noble Environmental,1965,2055,Open,29292041,5398530,2016,Yes,2.01,2012,40.1443,-79.8593
1833,Other,,York County SLF,"York, PA","York County Solid Waste Authority, PA",1974,1997,Closed,10000000,754137,,No,,,39.7831,-76.6262
1834,Other,,Aguadilla Landfill,"Aguadilla, PR",Municipality of Aguadilla,,2009,Closed,,,,No,,,18.419018,-67.116211
1835,Other,,Anasco Landfill,"Anasco, PR",Municipality of Anasco,1967,,Open,,,,No,,,18.313954,-67.143193
1836,With Project,1005158,Arecibo Landfill,"Arecibo, PR",Municipality of Arecibo,1973,2030,Open,5863979,4948551,2016,Yes,0.494,2012,18.465776,-66.621264
1837,Other,,Arroyo Landfill,"Arroyo, PR",Municipality of Arroyo,1977,2019,Open,,,,No,,,18.004595,-66.04773
1838,Other,,Barranquitas Landfill,"Barranquitas, PR",Municipality of Barranquitas,1976,,Open,,,,No,,,18.197565,-66.311485
1839,Other,1007083,Cabo Rojo Landfill,"Cabo Rojo, PR",Municipality of Cabo Rojo,1993,2020,Open,2756250,,,No,,,17.976252,-67.152653
1840,Other,1007121,Carolina Landfill,"Carolina, PR",Municipality of Carolina,1969,2030,Open,4635384,3938478,2016,Yes,0.481,2012,18.408363,-65.93762
1841,Candidate,,Cayey Landfill,"Cayey, PR",Municipality of Cayey,1972,2017,Closed,,1000000,,No,,,18.145825,-66.102902
1842,Other,,Culebra Landfill,"Culebra, PR",Municipality of Culebra,1982,,Open,,,,No,,,18.322022,-65.32154
1843,Candidate,1007630,El Coqui Landfill,"Humacao, PR",EC Waste,1973,2092,Open,48449068,19951462,2016,Yes,3.15,2012,18.13192,-65.808347
1844,With Project,1007084,Fajardo Municipal Landfill,"Fajardo, PR",Municipality of Fajardo,1971,2022,Open,5354361,4588633,2016,Yes,,,18.291343,-65.679315
1845,Other,,Florida Landfill,"Florida, PR",Municipality of Florida,1979,2009,Closed,,,,No,,,18.365922,-66.554948
1846,Other,,Guayama Landfill,"Guayanilla, PR",Municipality of Guayama,1979,,Open,,,,No,,,17.986272,-66.138451
1847,Other,1005161,Guaynabo LF,"Guaynabo, PR",Municipality of Guaynabo,1956,2008,Closed,,1100000,,No,,,18.32618,-66.102576
1848,Other,,Hormigueros Landfill,"Hormigueros, PR",Municipality of Hormigueros,1985,2030,Open,,,,No,,,18.15081,-67.097802
1849,Other,,Isabela Landfill,"Isabela, PR",Municipality of Isabela,1978,,Open,,,,No,,,18.477891,-67.042169
1850,Other,,Jayuya Landfill,"Jayuya, PR",Municipality of Juyuya,1978,,Open,,,,No,,,18.206677,-66.631817
1851,Other,,Juana Diaz Landfill,"Juana Diaz, PR",Municipality of Juana Diaz,1970,,Open,,,,No,,,18.038957,-66.517424
1852,Other,,Juncos Landfill,"Juncos, PR",Municipality of Juncos,1978,2012,Closed,3000000,2700000,2009,No,,,18.250523,-65.907025
1853,Other,,Lajas Landfill,"Lajas, PR",Municipality of Lajas,1979,,Open,,,,No,,,17.989905,-67.097804
1854,Candidate,1007578,Mayaguez Landfill,"Mayaguez, PR",Municipality of Mayaguez,1976,2025,Open,,3711099,2016,No,,,18.239143,-67.14378
1855,Other,,Moca Landfill,"Moca, PR",Municipality of Moca,1967,,Open,,,,No,,,18.414632,-67.116116
1856,Other,,Penuelas Valley Landfill,"Penuelas, PR",EC Waste,,,Open,,,,No,,,18.017306,-66.702133
1857,Candidate,1004774,Ponce Landfill,"Ponce, PR",Municipality of Ponce,1967,2069,Open,19252402,9933357,2016,Yes,2.61,2012,18.008428,-66.658458
1858,Candidate,1006228,Salinas Landfill,"Salinas, PR",Municipality of Salinas,1970,2038,Open,7896348,3199686,2016,No,,,17.957711,-66.236355
1859,Other,1007139,San Juan LF,"San Juan, PR","Municipality of San Juan, PR",1966,2001,Closed,,12442815,2001,Yes,0.601,2012,18.43,-66.08
1860,Other,1007194,Toa Alta Landfill,"Toa Alta, PR","Autonomous Municipality of Toa Alta, PR",1966,2017,Closed,2950206,,,No,,,18.371747,-66.265148
1861,Other,1005166,Toa Baja LF,"Toa Baja, PR",Municipality of Toa Baja,1974,2030,Open,,10176198,2016,No,,,18.421713,-66.204524
1862,Other,,Vega Baja Landfill,"Vega Baja, PR","Municipality of Vega Baja, PR",1970,2009,Closed,,,,No,,,18.478323,-66.359764
1863,Other,,Vieques Landfill,"Vieques, PR",Municipality of Vieques,1994,,Open,,,,No,,,18.148718,-65.417803
1864,Other,,Yabucoa Landfill,"Yabucoa, PR",Municipality of Yabucoa,1972,2011,Closed,,,,No,,,18.095716,-65.865946
1865,Candidate,1011713,Yauco Landfill,"Yauco, PR",Municipality of Yauco,1970,2017,Closed,1881022,1314639,2009,No,,,17.997057,-66.863266
1866,Other,,Bristol,"Bristol, RI",,1963,2002,Closed,,400000,,No,,,41.678,-71.252
1867,With Project,1006283,Central LF,"Providence, RI",Rhode Island Resource Recovery Corporation,1955,2038,Open,40537696,36150170,2016,Yes,15.6,2012,41.80468,-71.50216
1868,With Project,,Cranston Sanitary Landfill,"Providence, RI","A. Capuano Brothers, Inc.",1943,1985,Closed,,1000000,,Yes,,,41.7357,-71.4617
1869,Other,,Tiverton Landfill #2,"Newport, RI","Town of Tiverton, RI",1977,,Open,,,,No,,,41.584,-71.183
1870,Other,,Westerly,"Washington, RI",,1935,1992,Closed,,,,No,,,41.376,-71.8025
1871,Other,,Abbeville County Sanitary LF,"Abbeville, SC","Abbeville County, SC",,1998,Closed,,,,No,,,34.19452,-82.51534
1872,Other,,Abbeville County Subtitle D MSWLF,"Abbeville, SC","Abbeville County, SC",,2030,Open,,,,No,,,34.185,-82.5155
1873,Other,,Aiken County Landfill #3 Wagener Site,"Aiken, SC","Aiken County, SC",,,Closed,,,,No,,,33.6125,-81.4125
1875,With Project,1002813,Anderson Regional Landfill,"Anderson, SC","Waste Connections, Inc.",1972,2037,Open,8941483,5712762,2016,Yes,,,34.5752,-82.458
1877,Other,,Barnwell County Landfill,"Barnwell, SC","Barnwell County, SC",,1998,Closed,,,,No,,,33.318,-81.335
1878,Other,,Bees Ferry Road LF,"Charleston, SC","Charleston County, SC",1977,2005,Closed,,2300000,2001,No,,,32.81028,-80.10907
1879,Candidate,1004099,Bees Ferry Road Subtitle D LF,"Charleston, SC","Charleston County, SC",2006,2043,Open,,311965,2008,No,,,32.81028,-80.10907
1880,With Project,,Berkeley County LF,"Berkeley, SC","Berkeley County Water and Sanitation Authority, SC",1975,2000,Closed,,1215200,,Yes,,,33.1325,-80.04275
1881,With Project,1003478,Berkeley County Subtitle D LF,"Berkeley, SC","Berkeley County Water and Sanitation Authority, SC",2000,2037,Open,3945000,1500000,2009,Yes,,,33.1325,-80.04275
1882,Other,1004232,Blackberry Valley Landfill,"Greenville, SC","Greenville County, SC",1972,1987,Closed,,1000000,,Yes,0.132,2012,34.913,-82.486
1883,Other,,Cherokee County Landfill,"Cherokee, SC","Cherokee County, SC",1972,1998,Closed,2400000,2400000,,Yes,0.173,,35.11368,-81.6067
1884,Other,,Chester County Landfill,"Chester, SC",Chester County,1978,1994,Closed,,615600,,No,,,34.66449,-81.07862
1885,Other,1004423,City of Greenville Closed Landfill,"Greenville, SC",City of Greenville,1962,1995,Closed,3307500,2233361,1995,No,,,34.785,-82.357
1887,Other,,Croft Landfill,"Spartanburg, SC","Spartanburg County Public Works Department, SC",1972,1997,Closed,890816,890816,,No,,,34.864,-81.8636
1888,With Project,1004074,"Enoree LF, Phase II","Greenville, SC","Greenville County, SC",1991,2007,Closed,,5334538,2007,Yes,1.36,2012,34.80122,-82.1847
1889,Other,,Florence County LF,"Florence, SC","Florence County, SC",1987,1996,Closed,,1114000,,No,,,33.8664,-79.7418
1891,With Project,,Georgetown County Landfill,"Georgetown, SC","Georgetown County Environmental Services Division, SC",1977,1998,Closed,,971000,1998,Yes,,,33.4529,-79.3153
1892,With Project,1003528,Georgetown County Subtitle D LF,"Georgetown, SC","Georgetown County Environmental Services Division, SC",1998,2029,Open,,208565,2001,Yes,,,33.4529,-79.3153
1893,With Project,1003039,Greenwood County Landfills,"Greenwood, SC","Greenwood County Public Works, SC",1970,2026,Open,3728859,2657959,2016,Yes,,,34.1977,-82.0779
1894,Candidate,1006090,Hickory Hill MSWLF,"Jasper, SC","Waste Management, Inc.",1982,2027,Open,9526631,6813975,2016,Yes,1.49,2012,32.495,-80.968
1895,Other,1005912,Highway 321 Lexington County Landfill,"Lexington, SC","County of Lexington, SC",1960,1988,Closed,,2485571,,Yes,0.27,2014,33.90794,-81.06625
1896,With Project,1003394,Horry County LF,"Horry, SC","Horry County Solid Waste Authority, SC",1965,2036,Open,16061832,6459734,2016,Yes,1.2,,33.8158,-78.9609
1897,Other,,Kershaw County Landfill,"Kershaw, SC","Kershaw County, SC",1978,2000,Closed,,1048021,,No,,,34.3,-80.5268
1899,With Project,,Langley Landfill,"Aiken, SC","Aiken County, SC",1979,1998,Closed,,1273000,1998,Yes,,,33.4928,-81.8415
1901,With Project,1002557,"Lee County LF, LLC","Lee, SC","Republic Services, Inc.",1994,2058,Open,38541052,18573585,2016,Yes,6.15,2010,34.18,-80.2725
1902,Other,,Lexington County Edmund Facility,"Lexington, SC","County of Lexington, SC",1988,1995,Closed,,500000,1995,No,,,33.8576,-81.1819
1903,Candidate,,Northeast Landfill,"Richland, SC","Waste Management, Inc.",1972,,Open,,1846796,2007,No,,,34.132324,-81.113571
1904,Candidate,1002558,Northeast Sanitary Landfill,"Richland, SC","Republic Services, Inc.",1988,2050,Open,9376717,4159250,2016,Yes,1.07,2012,34.01375,-80.6839
1905,Candidate,1007582,Oakridge Landfill Inc.,"Dorchester, SC","Waste Management, Inc.",1987,2051,Open,31635415,12931399,2016,Yes,1.68,2012,33.135913,-80.3963
1906,Other,,Orangeburg County Landfill,"Orangeburg, SC",Orangeburg County,1972,1996,Closed,,1093022,1996,No,,,33.49491,-80.8491
1907,With Project,1007892,Palmetto Landfill,"Spartanburg, SC","Waste Management, Inc.",1979,2016,Closed,,22938750,2016,Yes,8.9,,34.9348,-82.0761
1908,Other,,Pendleton Sanitary Landfill,"Anderson, SC","Anderson County Environmental Services Division, SC",1973,1993,Closed,,600000,,No,,,34.62604,-82.79831
1909,Other,,Pickens County Landfill,"Pickens, SC","Pickens County, SC",,1998,Closed,,,,Yes,0.27,,34.8265,-82.6625
1910,With Project,1007706,Richland County Landfill,"Richland, SC","Waste Management, Inc.",1972,2047,Open,48339934,18290566,2016,Yes,3.45,2012,34.1042,-80.782
1912,Other,,Seneca MSWLF,"Oconee, SC","Oconee County, SC",1945,1998,Closed,,749266,,Yes,0.0792,,34.6535,-82.9466
1913,Other,,Starr Sanitary Landfill,"Anderson, SC","Anderson County Environmental Services Division, SC",1973,1993,Closed,1159000,1120000,,No,,,34.4095,-82.6855
1914,Other,,Sumter County MSW LF,"Sumter, SC","Sumter County, SC",1973,1998,Closed,,786000,1998,No,,,33.91285,-80.22479
1915,With Project,1006351,Three Rivers Regional Subtitle D MSWLF,"Aiken, SC","Three Rivers Solid Waste Authority, SC",1998,2071,Open,35000000,4471487,2016,Yes,1.81,2012,33.3563,-81.80951
1916,Candidate,1004041,Twin Chimneys Landfill,"Greenville, SC","Greenville County, SC",2007,2052,Open,30971852,2768386,2016,No,,,34.54,-82.312
1917,With Project,1004485,Union County Regional MSW Landfill,"Union, SC","Republic Services, Inc.",2002,2092,Open,80074194,8066063,2016,Yes,1.83,2012,34.6125,-81.821
1918,With Project,1004251,Wellford LF,"Spartanburg, SC","Spartanburg County Public Works Department, SC",1977,2020,Open,7070000,3434068,2016,Yes,1.33,2012,34.99667,-82.13861
1920,Other,,Williamsburg County MSWLF,"Williamsburg, SC","Williamsburg County, SC",1977,2010,Closed,,,,No,,,33.615,-79.867
1921,Other,1008000,York County LF,"York, SC","York County, SC",1950,1998,Closed,3236785,3236785,1998,No,,,34.97659,-81.19957
1922,Other,1004533,Brookings Regional Landfill,"Brookings, SD","City of Brookings, SD",1993,2042,Open,1957080,894309,2016,No,,,44.343,-96.735
1923,Candidate,1005056,Brown County Landfill,"Brown, SD","Brown County, SD",1975,2070,Open,6485742,1686515,2016,No,,,45.471056,-98.621521
1924,Other,,City of Mitchell Landfill,"Davison, SD","City of Mitchell, SD",1965,2005,Closed,898328,746864,2003,No,,,43.705,-97.9678
1925,Other,,Pierre Landfill,"Hughes, SD","City of Pierre, SD",2003,2282,Open,5673776,133933,2008,No,,,44.332,-100.0715
1926,With Project,1004676,Rapid City Landfill,"Pennington, SD","City of Rapid City, SD",1960,2033,Open,6000000,3160660,2016,Yes,0.36,2017,44.026,-103.198
1927,With Project,1002656,Sioux Falls Regional Sanitary Landfill (SFRSL),"Minnehaha, SD","City of Sioux Falls, SD",1979,2076,Open,31229386,10180000,2008,Yes,3.02,2012,43.5005,-96.93
1928,Other,,Tri-County Landfill,"Brule, SD",Tri-County Landfill Association,1996,2040,Open,1400000,100000,2003,No,,,43.7624,-99.2122
1929,Other,1011612,Vermillion Landfill,"Clay, SD","City of Vermillion, SD",1976,2076,Open,3587703,807824,2016,No,,,42.832,-96.976
1930,Other,1002902,Watertown Regional Landfill,"Codington, SD","City of Watertown, SD",1994,2058,Open,3622974,843284,2016,No,,,44.8474,-97.0872
1931,With Project,1003147,Alcoa/ Maryville/ Blount County Landfill,"Blount, TN","Blount County, TN; City of Alcoa, TN; City of Maryville, TN",1973,2070,Open,6335090,2671643,2016,Yes,0.523,2012,35.73606,-84.05903
1932,With Project,1005281,Bi-County LF,"Montgomery, TN","Bi-County Solid Waste Management Systems, TN",1975,2018,Open,,4874198,2016,Yes,1.15,2013,36.5387,-87.5448
1935,Other,,Bolivar-Hardeman County LF,"Hardeman, TN","Hardeman County, TN",1975,2034,Open,,390301,,Yes,,,35.2869,-89.054
1936,Other,1004808,Bordeaux Landfill,"Davidson, TN","Metropolitan Government of Nashville & Davidson County, TN",1973,1994,Closed,8052259,8052258,1994,Yes,0.402,2012,36.171,-86.844
1937,Candidate,1003356,Bradley County LF,"Bradley, TN","Bradley County, TN",1972,2043,Open,13330197,4629771,2016,No,,,35.157,-84.966
1940,Other,,Carter County/Elizabethton LF,"Carter, TN",Carter County,1982,1997,Closed,,468565,,No,,,36.368334,-82.117223
1941,With Project,1002649,Carter Valley Landfill,"Hawkins, TN","Republic Services, Inc.",1982,2077,Open,20481069,12723765,2005,Yes,1.58,,36.5417,-82.7917
1944,Candidate,1006260,Cedar Ridge LF,"Marshall, TN","Waste Management, Inc.",1991,2018,Open,7817788,6526386,2016,Yes,0.479,2012,35.46,-86.8375
1945,Other,,Cheatham County LF,"Cheatham, TN","Cheatham County, TN",1980,1993,Closed,,262518,,No,,,36.1366,-87.04
1946,Other,,Chester County LF,"Chester, TN","City of Hendersonville, TN",1974,1992,Closed,,187603,,No,,,35.4277,-88.6408
1947,With Project,1007795,Chestnut Ridge LF,"Anderson, TN","Waste Management, Inc.",1980,2074,Open,38404368,18892276,2016,Yes,2.88,2010,36.115,-84.038
1948,Candidate,1004159,City of Chattanooga Landfill,"Hamilton, TN","City of Chattanooga, TN",1995,2038,Open,4610276,2112071,2016,Yes,0.366,2012,35.1927,-85.0694
1949,Other,,Claiborne County LF,"Claiborne, TN",Claiborne County,1972,1997,Closed,,441316,,No,,,36.391668,-83.641668
1952,Other,,Cocke County LF,"Cocke, TN","Cocke County, TN",1985,,Open,,379459,,No,,,35.9559,-83.1502
1954,Other,,Crossville City LF,"Cumberland, TN",City of Crossville,1985,1993,Closed,,302280,,No,,,35.865556,-85.144446
1955,Other,,Cumberland County LF,"Cumberland, TN","Cumberland County, TN",1986,2009,Closed,,470845,,No,,,35.865,-85.15
1959,Candidate,1004117,Decatur County LF,"Decatur, TN","Decatur County, TN",1975,2167,Open,2500428,2462994,2016,No,,,35.483,-88.081
1960,Other,,DeKalb County LF,"DeKalb, TN","DeKalb County, TN",1973,2000,Closed,,302668,,No,,,35.96986,-85.68149
1962,Other,,Dyer City LF,"Gibson, TN",City of Dyer,1973,1989,Closed,,,,No,,,36.017501,-89.370556
1963,Other,,Dyersburg City LF,"Dyer, TN","City of Dyersburg, TN",1987,2095,Open,,396621,,No,,,35.9927,-89.368
1965,Other,,Ellis LF,"Henry, TN",Landfill Owner of Ellis LF,1973,1975,Closed,,,,No,,,35.222501,-89.358334
1966,Other,,Fayette County Class 1 LF,"Fayette, TN","Fayette County, TN",,2015,Closed,,,,No,,,35.2225,-89.35833
1967,Other,,Fayette County LF,"Fayette, TN","Fayette County, TN",1982,1996,Closed,,171514,,No,,,35.2225,-89.35833
1970,Other,,Fort Campbell LF,"Montgomery, TN",United States Army,1987,1996,Closed,,1000000,,No,,,36.5525,-87.4661
1971,Other,1003546,Franklin County LF,"Franklin, TN","Franklin County, TN",1976,1994,Closed,,410018,,No,,,36.282501,-83.440001
1974,Other,,Gratio LF,"Obion, TN",Landfill Owner of Gratio LF,1979,1997,Closed,,89356,,No,,,36.2657,-89.4125
1975,Other,,Greeneville/Greene County LF,"Greene, TN","Greenville County & Town, TN",1977,1993,Closed,,872958,,No,,,36.1913,-82.7648
1976,Other,,Greenfield LF,"Weakley, TN",Greenfield City,1973,1994,Closed,,55034,,No,,,36.3838,-86.4496
1977,Other,,Grundy County LF,"Grundy, TN","Grundy County, TN",1977,2001,Closed,,96732,,No,,,35.3611,-85.7425
1981,Other,,Haywood County LF,"Haywood, TN","Haywood County Solid Waste, TN",1973,2002,Closed,,400926,,No,,,36.570001,-89.287501
1983,Other,,Hickman County LF,"Hickman, TN",Hickman County,1972,1996,Closed,,354497,,No,,,35.8297,-87.44616
1985,Other,,Houston County LF,"Houston, TN","Houston County, TN",1973,1992,Closed,,69002,,No,,,36.23142,-87.71927
1987,Other,,Humphreys County LF,"Humphreys, TN",Humphreys County,1971,1997,Closed,,351072,,No,,,36.108334,-87.841668
1989,With Project,1003227,Iris Glen Environmental Center,"Washington, TN","City of Johnson City, TN",1994,2036,Open,11414089,6439775,2016,Yes,,,36.3294,-82.3322
1990,Candidate,1007711,Jackson-Madison County Landfill,"Madison, TN","Republic Services, Inc.",1990,2094,Open,15267375,5250012,2016,No,,,35.59,-88.876414
1991,Candidate,,Jefferson County LF,"Jefferson, TN","Jefferson County, TN",1993,2032,Open,,1065797,,No,,,36.0587,-83.4089
1992,Other,,Jere Kirk Disposal,"Dyer, TN",Landfill Owner of Jere Kirk Disposal,1972,2020,Open,,755275,,No,,,36.065,-89.320001
1995,Other,,Johnson City Regional LF,"Washington, TN","City of Johnson City, TN",1975,1994,Closed,,1500000,,No,,,36.420824,-82.537421
1998,Candidate,1010760,Lakeway Sanitation & Recycling Class I,"Hamblen, TN",Waste Industries,2006,2040,Open,3307500,1134180,2016,No,,,36.148473,-83.203596
1999,Other,,Lauderdale County LF,"Lauderdale, TN","Lauderdale County, TN",1973,2022,Open,,592844,,No,,,35.8298,-89.494
2000,Other,1003549,Lawrenceburg City/County Balefill,"Lawrence, TN","Lawrence County, TN",1972,2000,Closed,,822071,,No,,,35.2697,-87.3239
2001,Other,,Lewisburg City LF,"Marshall, TN",City of Lewisberg,1979,1990,Closed,,79966,,No,,,35.6507,-88.3924
2002,Other,,Lexington City LF,"Henderson, TN","City of Lexington, TN",1972,1991,Closed,,288555,,No,,,35.63549,-88.40428
2004,Candidate,1010561,Marion County LF,"Marion, TN","Marion County, TN",1984,2072,Open,2582010,1185805,2016,No,,,35.0369,-85.6227
2005,Other,,Martin City LF,"Weakley, TN",City of Martin,1972,1994,Closed,,528608,,No,,,35.653056,-87.061112
2006,Candidate,1007440,Matlock Bend Landfill,"Loudon, TN","Loudon County Solid Waste Disposal Commission (LCSWDC), TN",1987,2023,Open,4513948,3206145,2016,No,,,35.7467,-84.4119
2008,Other,,McKenzie LF,"Carroll, TN",City of McKenze,1972,1994,Closed,,282284,,No,,,35.386112,-84.597223
2009,Other,1007988,McMinn County LF,"McMinn, TN","McMinn County, TN",1971,2016,Closed,,231996,,No,,,35.39,-84.58667
2011,Other,,McNairy County LF,"McNairy, TN","McNairy County, TN",1972,2004,Closed,,700637,,No,,,35.21259,-88.51745
2012,With Project,1003269,Meadow Branch Landfill,"McMinn, TN","Waste Connections, Inc.",1980,2020,Open,9577190,7673615,2016,Yes,,,35.4828,-84.681
2013,With Project,1002650,Middle Point Landfill,"Rutherford, TN","Republic Services, Inc.",1988,2028,Open,41276585,26897723,2016,Yes,5.76,2012,35.94083,-86.35837
2014,Other,,Milan Arsenal LF,"Carroll, TN",United States Army,1978,1997,Closed,,9387,,No,,,35.895001,-88.719445
2015,Other,,Milan City LF,"Gibson, TN","City of Milan, TN",1972,,Open,,198457,,No,,,35.929,-88.795
2016,Other,,Monroe County LF,"Monroe, TN","Monroe County, TN",1974,1997,Closed,,200000,,No,,,35.49442,-84.28617
2018,Candidate,1007447,Morristown Balefill Landfill,"Hamblen, TN","Hamblen County-Morristown Solid Waste Board, TN",1976,2026,Open,,2100000,2008,No,,,36.1524,-83.2991
2020,With Project,1006303,North Shelby Landfill,"Shelby, TN","Republic Services, Inc.",1988,2163,Open,77723607,14078842,2016,Yes,2.79,2012,35.327,-89.945
2022,Candidate,1007062,Northwest Tennessee Landfill,"Obion, TN","Republic Services, Inc.",1995,2069,Open,17090795,6592979,2016,Yes,0.802,2012,36.4025,-89.152
2024,Other,,Paris-Henry County LF,"Henry, TN","City of Paris, TN",1972,,Open,,292337,,No,,,36.318,-88.3565
2026,Other,,Pickett County LF,"Pickett, TN","Pickett County, TN",1976,2015,Closed,,60435,,No,,,36.5625,-85.12
2027,Other,1003828,Pulaski City LF,"Giles, TN",City of Pulaski,1979,1994,Closed,,285586,,No,,,35.248019,-86.989236
2028,Other,,Putnam County LF,"Putnam, TN","Putnam County, TN",1972,1996,Closed,,1256907,,No,,,36.06941,-85.63116
2029,Other,1007859,Quail Hollow LF,"Bedford, TN","Waste Management, Inc.",1974,1998,Closed,3190364,2936424,,Yes,0.74,,35.392,-86.3054
2031,Other,,Red Ridge LF,"Monroe, TN",Tellico Area Disposal,1971,,Closed,,,,No,,,35.566667,-85.908334
2032,Candidate,1002730,Rhea County LF,"Rhea, TN","Rhea County, TN",1977,2026,Open,6855274,4600439,2016,No,,,35.56,-84.912
2033,Other,,Roane County Solid Waste Authority,"Roane, TN","Roane County, TN",1972,1998,Closed,,1600000,1998,Yes,,,35.858,-84.578
2035,Other,,Rutherford County LF,"Rutherford, TN","Rutherford County, TN",1974,1993,Closed,,886600,,Yes,0.72,,35.9289,-86.3613
2036,Other,,Savannah City\Hardin County LF,"Hardin, TN","Hardin County, TN; Savannah City",1972,1994,Closed,,882395,,No,,,36.438057,-84.532223
2038,Other,,Sequatchie Bledsoe LF,"Bledsoe, TN",Bledsoe City; Sequatch,1973,2005,Closed,,338738,,No,,,35.54434,-85.2601
2039,Other,,"Sevier Solid Waste, Incorporated","Sevier, TN","Sevier Solid Waste Authority, TN",1985,,Open,,253402,,No,,,35.8192,-83.5538
2040,Other,,Shelby County Millington LF,"Shelby, TN","Shelby County, TN",1968,1988,Closed,,242036,1988,Yes,,,35.1344,-89.8377
2041,Other,,Smith County LF,"Smith, TN","Smith County, TN",1988,2025,Open,,132992,,No,,,36.269692,-85.933982
2043,With Project,1002466,South Shelby Landfill,"Shelby, TN","Republic Services, Inc.",1981,2049,Open,53078559,31669274,2016,Yes,,,34.99809,-89.9189
2044,Other,,"Sullivan County LF, Incorporated","Sullivan, TN",,1979,1994,Closed,,2000000,,No,,,36.563439,-82.358575
2045,Other,1006286,Summitt LF,"Hamilton, TN","City of Chattanooga, TN",1980,1999,Closed,6434000,6434000,1999,Yes,0.337,2012,35.056114,-85.087079
2046,Other,,Sykes Road,"Shelby, TN","Republic Services, Inc.",1972,1981,Closed,,,,No,,,35.308,-89.9118
2048,Other,,Tri-Cities/Dresden LF,"Weakley, TN",City of Dresden; City of Sharon,1972,1993,Closed,,59837,,No,,,36.202778,-83.780279
2049,Other,1004644,Twin Oaks,"Knox, TN",Elizabeth Ann Farmer,1982,1993,Closed,,1505520,,Yes,0.36,,36.046126,-83.808143
2051,Other,,Upper Cumberland LF,"Clay, TN",Upper Cumberland Solid Waste,1991,2019,Open,,133987,,No,,,36.560415,-85.70786
2054,Candidate,1003207,Volunteer Regional Landfill,"Scott, TN","Waste Connections, Inc.",2000,2041,Open,11943300,4664461,2016,Yes,0.757,2012,36.551,-84.486
2056,With Project,1007889,West Camden Sanitary Landfill,"Benton, TN","Waste Management, Inc.",1994,2059,Open,25901970,11047098,2016,Yes,2.56,2012,36.0545,-88.1375
2058,Other,,White County LF,"White, TN","White County, TN",1977,,Open,,214429,,No,,,35.893,-85.582
2059,Other,1004655,Williamson County LF,"Williamson, TN","Williamson County, TN",1974,1998,Closed,,1454272,,No,,,35.885,-87.085
2060,Other,,Wilson County LF,"Wilson, TN","Wilson County, TN",1973,1997,Closed,,594158,,No,,,36.260278,-86.299446
2061,With Project,1004377,121 Regional Disposal Facility,"Collin, TX",North Texas Municipal Water District,2004,2056,Open,94356933,8709705,2016,Yes,3.4,2017,33.302678,-96.528899
2062,Candidate,1007357,Abilene Regional Landfill,"Jones, TX",Ray Knowles,1982,2336,Open,69106952,7921300,2003,Yes,0.804,2012,32.535,-99.7535
2063,Other,1007072,Altair Disposal Services LLC,"Colorado, TX",Clean Harbors,1973,2027,Open,9241500,8581378,2009,No,,,29.594168,-96.486668
2064,Candidate,1005392,Angelina County Waste Management Center,"Angelina, TX","Angelina County, TX",1992,2037,Open,5001602,2954123,2016,Yes,0.55,2016,31.24451,-94.69937
2065,With Project,1002645,Arlington LF,"Tarrant, TX","City of Arlington, TX",1965,2064,Open,28547930,23707502,2016,Yes,2.9,,32.8,-97.108334
2066,With Project,1007800,Atascocita RDF,"Harris, TX","Waste Management, Inc.",1983,2045,Open,61779198,33830834,2016,Yes,8.42,2012,29.958334,-95.238334
2067,With Project,1007894,Austin Community RDF,"Travis, TX","Waste Management, Inc.",1981,2028,Open,28568616,20028106,2016,Yes,3.28,2012,30.34522,-97.61395
2068,Other,1007684,Baytown Landfill,"Chambers, TX","Waste Management, Inc.",1985,2043,Open,16435000,9149671,2016,Yes,2.4,2012,29.671667,-94.916667
2069,Other,,Bell County/Sparks LF,"Bell, TX",Bell County,1994,2001,Closed,,343200,,No,,,30.926,-97.3835
2070,Other,,Bell Processing Inc. LF,"Wichita, TX",Bell Processing Inc,1990,2001,Closed,,,,No,,,32.716667,-97.8575
2071,Other,,Bellfort Boulevard Landfill,"Harris, TX","City of Houston, TX",1954,1970,Closed,,9731720,,Unknown,,,29.669,-95.372
2073,Other,,BFI LF,"Taylor, TX",Pine Street Salvage Company,1993,1997,Closed,,745888,,Yes,,,32.46784,-99.71451
